GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
8600000US78634,78634,ZCTA5 78634,7471,411,69625,8335,85.8,2.6,72565,8180,10.2,2.3,53860,10758,0.7,0.7,120855,97312,0.2,0.2,61250,177686,0,0.5,-,**,2.3,1.4,29521,54022,0.9,0.8,79375,23358,18.3,3.5,70044,13466,70.2,3.9,73098,7688,2.1,1.6,62717,76968,55.9,3.5,66489,10404,33.7,3.3,85448,8608,8.3,2,42063,9626,6074,363,73419,5843,59.2,4.7,65378,8385,40.8,4.7,80842,10593,80.6,5,81917,7132,15.8,4.8,40765,5425,3.6,1.9,53750,15996,1397,269,42212,5894,48.2,11.6,30078,21259,40.7,10.6,24107,11056,7.4,5.8,85855,12212,51.8,11.6,60577,24763,42.4,10.5,52328,31617,9.4,6.2,61923,63428,19.5,(X),(X),(X),20,(X),(X),(X),15.5,(X),(X),(X)
8600000US78640,78640,ZCTA5 78640,12626,510,63855,2456,72.3,3.6,70205,6126,4.4,1.1,59063,14378,0.4,0.3,47356,39066,0.7,0.4,87083,98366,0,0.3,-,**,21,3.5,37560,13715,1.1,0.7,52333,125057,45.9,2.7,50210,9294,48.2,3,72279,6715,1.9,0.9,29087,31600,51.5,2.6,71086,8725,39,2.4,60867,7176,7.6,1.5,45458,12412,9865,458,66917,6832,61.3,2.6,66437,8444,38.7,2.6,68421,10039,77.6,3.2,77848,6045,15.5,3,36519,4651,6.8,1.9,56250,21487,2761,496,47815,6418,51,9.9,42125,9911,42.4,9.3,32500,19859,8.5,3,54018,20034,49,9.9,54664,12960,40.5,9.5,50670,13035,8.5,4.5,102966,13011,38,(X),(X),(X),35.5,(X),(X),(X),45.1,(X),(X),(X)
8600000US78641,78641,ZCTA5 78641,15567,597,64442,4337,88.6,2.4,66265,4786,3.9,1.5,55717,33090,0.3,0.2,121250,95875,1.6,0.7,41908,40263,0,0.2,-,**,3.9,1.6,53250,14816,1.7,0.7,68276,42880,18,2.4,54837,3588,74.8,2.4,71845,4776,1.7,0.9,56719,39950,51.1,2.4,65904,8938,35.2,2.4,73354,10190,12,1.8,48231,8586,12319,526,72647,4371,58,3.5,73692,6003,42,3.5,69853,11031,80.1,3.7,81944,4450,14,3.1,45873,6713,5.9,2,53008,13365,3248,462,44342,3578,37.1,5.4,45446,9567,28.8,4.9,32461,8336,8.3,3.6,98071,13873,62.9,5.4,44236,3318,51.8,6.7,41105,6957,11.1,5.1,86528,8467,22.7,(X),(X),(X),23.4,(X),(X),(X),19.9,(X),(X),(X)
8600000US78642,78642,ZCTA5 78642,2981,177,70665,9227,94.6,2.4,72750,12067,0.1,0.2,-,**,1.1,0.9,71625,30881,0,1.2,-,**,0,1.2,-,**,3.2,1.8,59306,24962,1,1.2,68092,17750,8.7,2.6,58333,18833,89.2,3,75189,12936,2.6,2.3,17238,64807,34.6,4.5,77870,15299,47.4,4.7,85392,10250,15.4,3.7,52669,6028,2471,180,79429,9448,44.7,5.8,92853,14463,55.3,5.8,66643,12125,88.4,4.8,85663,8903,8.9,3.7,30938,34870,2.7,2,44605,47135,510,125,35735,11638,52.7,12.9,26845,16558,48.2,13,25588,15741,4.5,5.3,63487,20069,47.3,12.9,51375,24707,43.3,13,46375,27459,3.9,6.1,-,**,25.2,(X),(X),(X),26.6,(X),(X),(X),18.6,(X),(X),(X)
8600000US78645,78645,ZCTA5 78645,4090,226,70981,6221,95.1,2.3,70506,6188,1.6,1.9,160653,160559,0.4,0.7,-,**,0.5,0.4,51667,67081,0,0.9,-,**,1,0.9,12381,23605,1.4,1.1,84632,219912,8.4,2.9,57717,35623,88.6,3.3,72683,8473,0.6,0.6,116406,149555,25.9,4.4,70369,5484,45.4,4.8,76607,23178,28.1,4.3,66897,10943,3084,241,80400,10771,31.9,5.5,75625,24523,68.1,5.5,80495,11319,90.2,5,87574,11163,8.4,4.9,45355,17288,1.4,1.2,102292,158525,1006,220,31989,6909,47.1,10.5,23125,2324,42.9,10.4,22331,2134,4.2,2.6,90625,81901,52.9,10.5,47230,9309,38.4,10.1,43750,19610,14.5,11.4,71598,86457,26,(X),(X),(X),25.8,(X),(X),(X),25.7,(X),(X),(X)
8600000US78652,78652,ZCTA5 78652,1748,154,77985,7680,86.8,6.1,78393,6485,5.3,4.1,70673,76885,0,2.1,-,**,1.8,2.3,83261,88507,0,2.1,-,**,4.6,4.6,28426,85288,1.4,1.3,108750,73794,22.7,6.5,65694,43406,69.7,7,78355,6334,3,2.5,83098,40721,28.7,6.1,52130,10432,49.9,7,94904,22228,18.3,5.6,67500,21743,1382,182,86397,8081,40,8.5,79522,19404,60,8.5,88341,9681,74,9.4,93188,16031,21.7,8.7,65603,22261,4.3,3.7,9958,108806,366,118,39271,9542,46.4,18.6,31000,8297,44,18.5,29896,8092,2.5,4.2,-,**,53.6,18.6,63333,21096,51.6,18.7,63625,16348,1.9,1.8,42813,6732,15.7,(X),(X),(X),16,(X),(X),(X),14.5,(X),(X),(X)
8600000US78664,78664,ZCTA5 78664,18566,674,60442,3409,78.3,2.1,60608,2983,12.6,1.9,49392,10792,0.3,0.2,112589,110645,3,0.6,71758,13018,0,0.2,-,**,3.4,1,46418,4404,2.4,1,94904,31755,27.7,2,50156,4857,55.1,2.3,68633,4445,5.6,1.3,32841,8366,48.4,2.3,62204,5852,37.3,2.2,68968,4186,8.7,1.2,43333,11625,12893,639,67126,4298,60.7,2.5,60517,5610,39.3,2.5,72839,3660,73.2,3.2,77773,4492,18.7,2.8,31444,4893,8.1,2.3,46250,30415,5673,475,46567,3344,53.1,4.8,42645,3611,45.1,5,40811,3766,8.1,2.6,69095,25048,46.9,4.8,53438,7925,32.4,4.6,49155,4733,14.5,3.4,74345,12548,23,(X),(X),(X),24.9,(X),(X),(X),16.4,(X),(X),(X)
8600000US78665,78665,ZCTA5 78665,11427,524,84804,7312,81.6,2.7,85571,7686,7.9,2.1,70581,23216,0.1,0.2,-,**,7.2,2,88750,34243,0,0.3,-,**,2,1.1,118587,38527,1.2,0.9,120417,146681,18.9,3.1,76097,15836,65.2,3.4,87875,6530,3.2,1.7,41105,26813,51.2,3.5,87198,8483,36.8,3.9,90565,3343,8.8,2.1,43808,23334,8669,581,90655,7495,57,4.2,87731,9477,43,4.2,95152,9376,84.9,4.3,96927,10437,7.9,2.7,45486,11183,7.2,3.8,59402,65783,2758,515,60313,5716,51.6,9.8,33415,11592,42.1,9.3,28603,7004,9.5,5.3,90844,41255,48.4,9.8,64753,15660,29.7,9.2,60592,3116,18.7,8.5,74583,16841,24.4,(X),(X),(X),22.9,(X),(X),(X),26.3,(X),(X),(X)
8600000US78676,78676,ZCTA5 78676,5296,377,63013,6696,95,2.4,64565,7434,0,0.7,-,**,1,0.8,67500,51111,0.4,0.6,-,**,0,0.7,-,**,0.7,0.8,20583,23101,2.9,2.3,19406,32758,4.3,1.6,43472,25121,91.5,2.5,64518,7473,0.9,0.8,20583,36350,16.5,3.3,71452,27209,52,4.6,70515,15192,30.6,4.2,53285,6852,3579,328,75139,17342,32.2,6.7,80893,24001,67.8,6.7,74575,18179,83.2,6.3,87205,3880,12.5,6.2,19022,11614,4.3,2.4,38636,31415,1717,338,44680,11187,66.3,8.7,46037,11786,57.9,9.4,43438,11632,8.4,5.3,61111,13359,33.7,8.7,42083,20161,29.9,8.1,41771,24700,3.8,3.4,55121,45162,30.4,(X),(X),(X),32.7,(X),(X),(X),25.2,(X),(X),(X)
8600000US78681,78681,ZCTA5 78681,17433,473,92981,2349,83.5,1.8,93850,3450,4.2,1.2,67697,29615,1.3,0.8,32148,51738,6,0.9,109788,15727,0.1,0.1,-,**,2.4,0.8,67992,14375,2.4,0.7,66330,8383,14.9,1.8,62390,11994,71.6,1.8,96580,3802,2,0.8,31798,19394,47.2,2.1,95265,5765,40.7,2.2,96632,4722,10.1,1.1,66933,6729,13708,513,101337,2786,60.5,2.2,104528,5586,39.5,2.2,96761,4477,85,2.1,109083,3264,11,1.8,49442,6537,4,1.4,40000,14871,3725,401,48925,8796,58.9,5.9,40451,9295,51.8,6.3,35707,7491,7,3,106136,40183,41.1,5.9,57667,11384,29.9,5.8,44512,8063,11.2,4,97022,19549,21.7,(X),(X),(X),19.9,(X),(X),(X),25.9,(X),(X),(X)
8600000US78701,78701,ZCTA5 78701,3534,266,68152,11945,86.7,5.1,68288,13794,1.2,1.3,40850,29263,0,1.1,-,**,7.7,4.1,72232,51017,0,1.1,-,**,2.1,2.1,16219,61080,2.3,2.1,74911,436209,13.2,4.7,37917,31427,76.2,4.7,75512,10288,12.7,3.9,22411,11154,53.5,5,83729,8383,23.4,4.8,53314,24102,10.4,2.3,65833,53043,660,171,152885,67449,17.6,10.4,"250,000+",***,82.4,10.4,128618,53971,92.9,6.8,153558,65442,0.8,1.8,-,**,6.4,6.4,112386,240458,2874,277,61634,6417,48.3,6,38262,11350,40.4,6.2,37159,17470,8,3.1,38836,12896,51.7,6,77462,11303,41.1,6.1,73047,10184,10.6,4.1,111538,171812,24.9,(X),(X),(X),30.3,(X),(X),(X),23.7,(X),(X),(X)
8600000US78702,78702,ZCTA5 78702,7967,243,34734,3648,64,3,40857,4210,19.1,2.4,22393,4587,1.1,0.6,24875,9014,1.2,1,42243,46815,0,0.5,-,**,13.2,2.5,24010,6237,1.4,0.7,37391,10197,45.7,2.8,29137,3147,33.4,2.7,56132,6982,6.2,1.6,21513,7086,44.9,3.5,47769,9597,30.1,3.5,31892,3963,18.8,2.1,20474,7135,4155,259,38453,5184,50.4,4.3,27354,4513,49.6,4.3,48531,9128,46,4.9,58762,4816,39.8,5.1,21214,2914,14.2,3.1,36279,8912,3812,244,27860,3416,50.5,5.2,25619,5915,34.2,4.5,19716,6525,16.4,4.6,41161,14575,49.5,5.2,32093,8894,35.9,5,25825,9203,13.6,3.9,61350,15440,36.2,(X),(X),(X),40.1,(X),(X),(X),28.8,(X),(X),(X)
8600000US78703,78703,ZCTA5 78703,9062,300,92606,9095,90.7,2,98146,6844,1.5,0.9,36413,25499,0.7,0.7,30000,83256,5.2,1.5,35893,16984,0,0.4,-,**,0.8,0.5,44167,40660,1.1,0.6,37321,69164,7.6,1.9,69107,15649,84,2.3,100473,7148,4.6,1.7,18182,8116,48,3,72454,10440,34.1,2.5,120109,19567,13.2,1.4,85865,16050,4607,319,132585,17677,45.5,3.2,150000,24933,54.5,3.2,114313,18440,84.5,3.4,148044,9856,10.6,2.8,58239,16761,4.9,2.3,84063,129777,4455,352,56477,7953,51,4.2,52159,8631,38.4,4.3,45395,7204,12.6,3,78750,25715,49,4.2,66471,5133,35.2,4.4,44600,17551,13.8,3.5,110357,10854,23.2,(X),(X),(X),25.7,(X),(X),(X),19.8,(X),(X),(X)
8600000US78704,78704,ZCTA5 78704,21082,465,50248,2201,89.5,1.4,51618,1994,3.1,0.9,26486,10306,0.6,0.3,22760,17816,1.6,0.7,87831,46722,0,0.1,-,**,3,0.9,39659,21144,2.1,0.7,38816,19630,22.2,1.8,35156,6055,71,1.9,59658,3084,10.7,1.6,21534,5251,53.7,1.9,53531,2764,27.9,1.5,58104,9298,7.6,0.7,44812,5141,7460,444,71570,7904,46.6,3.3,48906,11288,53.4,3.3,84188,5093,63.1,3.7,100798,7978,26.2,3.3,20285,5591,10.6,2.6,44669,23584,13622,428,43776,1527,46.1,2.7,40263,3227,33,2.3,35286,3586,13.1,2,60315,12705,53.9,2.7,47747,4110,39.7,2.8,43298,3270,14.2,2.3,58405,9331,20.6,(X),(X),(X),22.4,(X),(X),(X),19.3,(X),(X),(X)
