GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
8600000US76527,76527,ZCTA5 76527,1511,205,44977,8975,99.7,0.6,44861,8780,0,2.4,-,**,0,2.4,-,**,0.3,0.5,-,**,0,2.4,-,**,0.1,0.2,-,**,0,2.4,-,**,12,5.4,39464,16261,87.7,5.5,45917,12163,2.7,2.5,34034,1833,39.2,9.6,42256,20248,33.8,7.7,79063,9250,24.4,6.8,34038,5708,1103,216,52227,27517,48.3,10,42028,20611,51.7,10,76316,27479,81.2,9.8,75132,21800,16.1,9.9,37826,6555,2.6,1.9,65417,55882,408,131,40656,7376,41.4,16.1,40982,8735,39.2,15.5,41250,8132,2.2,2.8,36250,25561,58.6,16.1,40559,26633,37.7,16.6,17000,22105,20.8,17.9,42261,24349,26.1,(X),(X),(X),21.8,(X),(X),(X),31.4,(X),(X),(X)
8600000US76530,76530,ZCTA5 76530,882,115,50463,10240,91.8,3.4,54091,7239,4.3,2.9,19643,43292,0,4.2,-,**,0,4.2,-,**,0,4.2,-,**,2,1.6,25455,15608,1.8,1.8,9722,24424,19.2,5.3,36917,10058,76.2,5.5,57143,10471,0.7,1.1,-,**,26.6,6.5,44148,4847,48.6,6.8,63969,3070,24,5.6,28241,8970,637,108,55208,11661,35.6,9.3,51953,13501,64.4,9.3,57500,15590,73.9,8.7,63266,7037,21.2,8,39375,17756,4.9,3.5,41528,15257,245,62,28750,15202,57.1,13.1,27222,12448,49.4,13.4,24712,14025,7.8,6.2,55417,104300,42.9,13.1,33750,40431,38.8,11.9,33750,40095,4.1,4.4,-,**,36.1,(X),(X),(X),36.4,(X),(X),(X),31.4,(X),(X),(X)
8600000US76537,76537,ZCTA5 76537,1378,151,54479,6247,92.2,4.3,55348,6170,0.8,1.1,-,**,0.4,0.7,-,**,1.2,2,-,**,0,2.7,-,**,2.7,2.4,37917,46986,2.6,2.8,80625,65658,20.5,5.1,49375,9408,75,5.8,56107,4579,2.8,2.3,80750,34878,41.3,7,53938,5906,42,7.8,68417,24842,13.9,4.5,33583,11368,1099,140,56571,5970,47.2,9,54261,14287,52.8,9,57325,13205,82.2,8.9,55797,6218,10.7,5.5,44250,25753,7.1,7.3,83915,10120,279,83,31150,4912,47.7,15.4,30398,4680,44.8,15,29821,5245,2.9,4.9,-,**,52.3,15.4,36250,44070,43.7,16.8,42500,50410,8.6,8,36250,30804,24.2,(X),(X),(X),25.1,(X),(X),(X),20.8,(X),(X),(X)
8600000US76574,76574,ZCTA5 76574,6625,304,45011,3635,85.1,2.6,48125,4351,10.5,2.6,32341,9082,0.1,0.2,-,**,0.1,0.1,-,**,0,0.6,-,**,3.6,1.3,48259,17183,0.7,0.4,29500,101931,27.9,3.1,41150,4480,61.1,3.2,53860,7023,3.7,1.6,43194,34765,30.3,2.6,50118,8699,42.7,2.9,52786,8277,23.3,2.4,37013,5230,4686,192,52982,4595,42.6,3.8,46250,7495,57.4,3.8,56753,3889,74.1,4.4,60455,4710,19,4,37739,7568,6.9,2.8,39375,14970,1939,256,24135,3149,51.8,7.6,19863,2414,48.1,7.9,19505,2318,3.7,2.6,43929,39557,48.2,7.6,31678,10444,41.3,7.2,25172,7546,7,4,61781,15673,25.8,(X),(X),(X),29.2,(X),(X),(X),17.6,(X),(X),(X)
8600000US76578,76578,ZCTA5 76578,634,94,57857,17557,89.6,4.9,67609,13719,5.5,3.3,11250,10331,0,5.7,-,**,0,5.7,-,**,0,5.7,-,**,1.3,1.2,93750,52380,3.6,4.1,-,**,10.9,5.6,47031,18525,80,7.1,69293,8746,0.9,1.8,-,**,31.2,9,81944,15816,43.4,7.3,56208,10700,24.4,6.8,40809,8339,470,91,72105,9927,47.7,12.2,81667,24083,52.3,12.2,57000,16648,93,4.4,75272,11284,3.6,3,33750,20059,3.4,2.9,76500,152831,164,54,27100,9159,65.9,18.2,26500,3705,60.4,18,26350,2547,5.5,6.2,-,**,34.1,18.2,45625,35003,34.1,18.2,45625,35003,0,20.3,-,**,33.4,(X),(X),(X),34.5,(X),(X),(X),30.5,(X),(X),(X)
8600000US78610,78610,ZCTA5 78610,8431,360,79049,6456,86.2,3.3,83599,8072,2.7,1.2,56143,24795,0.3,0.4,113958,90115,0.7,0.4,58529,24694,0.1,0.2,-,**,7.3,2.6,41148,10585,2.7,1.6,61875,105447,33.3,3,66417,11814,62.1,3.5,86982,9431,3,1.7,16207,19603,42,3.4,77782,7194,41.4,3.5,96063,7735,13.5,1.9,69020,13526,6311,394,87111,7879,52.1,4,76031,7392,47.9,4,95778,7094,82.2,3.7,96718,6730,11.2,2.9,50068,8539,6.6,2.3,50625,20376,2120,310,51585,12198,54.7,8.4,47278,14223,38.5,7.7,35099,7799,16.2,5.3,92702,45051,45.3,8.4,68667,33957,29.2,8.6,48875,26104,16.1,7.1,92925,36261,27.8,(X),(X),(X),27.5,(X),(X),(X),27.8,(X),(X),(X)
8600000US78617,78617,ZCTA5 78617,5628,372,45212,3374,66.9,3.8,45330,4911,9.9,2.7,63028,12386,1.7,1.1,15750,18980,2.5,1.5,58042,34332,0,0.7,-,**,16.7,3.7,38830,8673,2.4,1.4,70750,46111,57.9,4.8,40346,3102,28,4.2,57515,9457,3.4,2.2,41300,6046,52,5.1,48138,7327,34.7,4.4,43631,11478,9.9,2.4,42145,2280,4778,380,44529,3603,56.7,5.5,39027,3601,43.3,5.5,53917,10561,67.4,6.3,55841,7247,22.7,5.2,25318,9974,9.9,3.9,37541,2947,850,210,40508,7546,32.5,10,40741,20499,19.4,8.4,24188,6338,13.1,8.5,42372,55448,67.5,10,40313,9809,58.5,11.5,36420,15741,9.1,8.2,55972,14020,20.8,(X),(X),(X),20.8,(X),(X),(X),20.1,(X),(X),(X)
8600000US78626,78626,ZCTA5 78626,8797,362,57787,4875,88.3,2.8,59361,3968,4.5,1.7,40851,4796,0.1,0.2,-,**,0.7,0.5,33750,49416,0,0.4,-,**,5,1.8,48750,17809,1.3,0.9,59338,29601,28.2,2.8,48906,7324,66.3,2.9,61951,5133,5.9,1.8,41029,36828,41.3,2.9,54934,8116,36.8,2.7,65721,8363,16.1,1.8,42012,5743,5957,318,67065,5170,51.2,3.4,63988,8631,48.8,3.4,68570,5566,79.6,3.3,76264,9296,15.8,3.3,33485,10343,4.6,2,31923,21161,2840,324,38922,4738,51.4,6,33208,13326,43.9,6.7,29853,7219,7.5,3.8,87883,49029,48.6,6,39544,4083,41.1,6.4,37393,4395,7.4,3.9,88156,27829,22.6,(X),(X),(X),24,(X),(X),(X),19.5,(X),(X),(X)
8600000US78628,78628,ZCTA5 78628,9320,318,80363,4016,93,1.8,81434,4409,2.7,1.2,32095,70941,0,0.4,-,**,0.9,0.5,96944,127659,0,0.4,-,**,2.2,1.1,53454,27080,1.2,0.7,58636,19088,9.7,1.7,58636,14803,85.8,2,85507,4753,2.7,1.2,32500,5856,24.6,2.3,87327,9153,43.9,2.5,98413,7042,28.8,2.2,59682,6151,7031,323,94700,4136,37.6,3.3,95245,8155,62.4,3.3,94358,6960,85.3,2.7,99349,4104,9,1.9,41004,7419,5.7,2,42159,27886,2289,299,41963,6499,58.3,7,41321,3309,51.9,6.7,40767,2936,6.4,3.9,48835,30015,41.7,7,47277,19007,38.6,7.8,39815,20377,3.1,2.9,96875,179944,19.2,(X),(X),(X),19.9,(X),(X),(X),16.1,(X),(X),(X)
8600000US78633,78633,ZCTA5 78633,8936,335,74986,5438,97.8,0.9,74438,5697,0.6,0.6,147083,99467,0.5,0.5,-,**,0.5,0.4,123295,101324,0,0.4,-,**,0.3,0.3,125357,91602,0.3,0.4,-,**,3.9,1.6,71563,29540,94.3,1.6,74500,5569,0.1,0.1,-,**,8.2,2.1,107250,27266,27.5,2.9,98467,9354,64.3,3.1,61073,6505,6610,385,87188,7649,15.7,3.1,137708,30005,84.3,3.1,81328,4603,94.3,2.4,87175,7228,3.8,1.7,57194,31403,1.9,1.8,198107,144188,2326,289,40821,5326,69.5,7.2,40313,4885,66.6,7,39480,5104,2.9,1.8,66528,48861,30.5,7.2,48875,32951,23.8,7.4,30781,21455,6.7,4.4,123750,33462,21.8,(X),(X),(X),20.2,(X),(X),(X),25.2,(X),(X),(X)
