GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
8600000US76527,76527,ZCTA5 76527,1509,184,47214,7822,99.1,0.6,46875,7377,0,2.5,-,**,0,2.5,-,**,0.2,0.4,-,**,0,2.5,-,**,0.7,0.5,141667,39918,0,2.5,-,**,14.7,5.7,42917,7292,85.1,5.8,49052,9600,3.1,2.3,33688,8850,37.3,9,42283,14098,35.5,6.5,81042,24429,24.1,7.4,36447,7246,1118,195,52727,15598,49.6,10.1,43015,15446,50.4,10.1,65139,19332,78.5,10.7,70769,22271,19.1,10.3,37964,5514,2.3,1.9,71250,87192,391,113,41614,4249,48.6,15.3,42115,9612,39.6,15.1,37411,9833,9,7.9,122813,84656,51.4,15.3,41458,6760,29.7,11.9,20417,25211,21.7,16.1,47639,20835,27.8,(X),(X),(X),27.5,(X),(X),(X),24,(X),(X),(X)
8600000US76530,76530,ZCTA5 76530,921,98,52563,8112,95,2.8,55515,8450,1.4,1.6,12188,12304,0,4,-,**,0,4,-,**,0,4,-,**,1.7,1.5,25500,18644,1.8,1.5,18438,9783,18.7,4.9,36042,12774,79.2,5.4,61563,10983,0.5,0.8,-,**,23.5,6.6,46364,12478,52,7,63801,3830,24,4.7,29844,15181,679,90,63262,8655,32.3,8.3,65221,28747,67.7,8.3,63171,14250,77.8,8.6,66613,6699,18.9,8.3,44444,21308,3.4,3,53750,60333,242,51,26667,8904,57.9,13.9,27333,12083,50.4,14.3,27159,11117,7.4,6.6,58750,131246,42.1,13.9,13750,30137,38.4,13.2,12067,26620,3.7,4.6,-,**,31.8,(X),(X),(X),31.8,(X),(X),(X),28.1,(X),(X),(X)
8600000US76537,76537,ZCTA5 76537,1376,152,53318,5903,92.2,4.3,54886,5215,2.3,2.9,31302,938,0.4,0.6,-,**,0.2,0.4,-,**,0,2.7,-,**,4.2,2.7,38333,14982,0.7,1.1,-,**,20.8,5.9,53000,28339,76.4,6.5,54469,5131,3.9,2.4,53750,37199,33.1,6.6,54963,4599,47.2,7.3,61445,14889,15.9,4.3,31979,6630,1046,144,57009,7202,43,8.1,49265,9379,57,8.1,62304,11238,85.2,6.3,61144,9475,8.1,3.8,39750,9909,6.7,5.2,46643,26398,330,99,27353,8141,50.9,17.6,26900,7378,49.4,17.4,26650,8004,1.5,3,-,**,49.1,17.6,30667,18700,42.1,19.4,30250,20533,7,6.2,35893,63653,21.2,(X),(X),(X),22.6,(X),(X),(X),17,(X),(X),(X)
8600000US76574,76574,ZCTA5 76574,6492,264,47854,4460,84.8,2.4,50868,4116,10.2,2.2,38007,9755,0.1,0.1,-,**,0.2,0.3,-,**,0,0.6,-,**,3.6,1.3,49554,10749,1.1,0.7,65250,87075,25.7,2.8,43404,4978,62.9,3.1,56804,6059,3.2,1.4,42778,25888,31.4,3.1,52146,9799,43.5,3,55945,5555,21.8,2,35513,4770,4540,245,56990,5881,42.5,3.8,51753,5707,57.5,3.8,61364,5882,74.7,4,66757,7606,18.6,3.8,34063,8222,6.7,2.2,50485,18567,1952,286,27102,7770,46.9,8,21528,3308,43.2,7.6,20933,3080,3.7,2.4,44231,42202,53.1,8,35947,6303,46,8.7,31992,10126,7.2,3.7,62232,16238,26.1,(X),(X),(X),30.7,(X),(X),(X),15.5,(X),(X),(X)
8600000US76578,76578,ZCTA5 76578,547,73,57589,12213,84.5,6.6,67222,12550,9.3,4.9,11146,5443,0,6.6,-,**,0,6.6,-,**,0,6.6,-,**,1.8,1.4,73750,45299,4.4,4.9,-,**,15.5,5.7,47639,44801,70.7,8.2,72813,9647,0.2,0.5,-,**,24.5,8.7,79167,5120,50.6,9.9,55956,10216,24.7,6.3,42292,16122,375,71,74821,8488,38.1,11.5,79792,5304,61.9,11.5,67813,13930,89.3,5.9,78317,7144,7.2,4.7,24583,16412,3.5,3.4,77188,126025,172,50,26522,6645,56.4,15.6,27337,7893,52.3,15.3,27174,6385,4.1,4.3,-,**,43.6,15.6,20625,43875,43.6,15.6,20625,43875,0,19.5,-,**,32.9,(X),(X),(X),35.2,(X),(X),(X),27.9,(X),(X),(X)
8600000US78610,78610,ZCTA5 78610,8943,407,74550,3562,85.8,2.8,78891,6283,2.6,1.2,56440,17730,0.8,0.9,29311,27611,0.6,0.4,60469,62041,0.1,0.1,-,**,7.3,2.5,40964,9310,2.8,2,46376,45336,36.1,3.3,60056,6821,60.2,3.4,82083,5663,3.1,2,16250,28792,39.9,3.4,75528,5285,41.7,4,84611,14588,15.3,2.2,58339,6423,6557,386,82782,7708,53.5,4.3,72500,7198,46.5,4.3,93211,7194,81.4,4.1,94957,5182,11.7,3.5,51217,4179,6.9,2.8,50712,12965,2386,333,47976,10611,54.7,7.8,36184,8143,41.6,7.2,33083,3649,13.1,5.9,70179,39614,45.3,7.8,57059,20637,30.2,8.8,52128,12217,15.1,6.7,90583,42282,28.5,(X),(X),(X),27.6,(X),(X),(X),30.9,(X),(X),(X)
8600000US78617,78617,ZCTA5 78617,5945,342,45040,4224,71.7,4.2,46823,4883,10.5,2.7,55964,9902,1.3,1.2,12096,6170,2.3,1.5,46932,40866,0,0.6,-,**,12.8,4.2,30330,7811,1.5,1.2,70667,68461,58.2,5.2,39754,4691,26.8,4.2,57788,10097,2.9,1.8,27128,22326,53.5,5,46040,5726,33.5,4.6,49152,17209,10.1,2.5,41840,11312,5109,353,45012,5366,55.5,5.1,39783,3741,44.5,5.1,50492,13930,67.4,5.6,53893,8330,22.1,4.2,24429,3941,10.5,3.7,36733,3845,836,157,26438,19319,37.8,11.5,26500,21956,21.1,9.9,19600,7151,16.7,9.9,42042,37328,62.2,11.5,24958,29375,57.1,11.6,24521,26340,5.1,4.6,37188,202986,25.7,(X),(X),(X),25.4,(X),(X),(X),23.9,(X),(X),(X)
8600000US78626,78626,ZCTA5 78626,8830,359,57602,3870,91,2.3,59152,3978,3.8,1.5,42917,14771,0.4,0.4,-,**,0.7,0.6,70917,129189,0,0.4,-,**,2.8,1.4,48750,26498,1.2,0.8,59732,43509,29.6,3.2,49402,6269,65.1,3.3,61380,2728,7.1,1.8,25625,23000,38.8,3.2,57653,6187,37.4,3.1,65250,6686,16.7,1.9,43025,5698,5985,321,66524,5255,53.3,4.1,61979,6674,46.7,4.1,70652,5735,77.1,3.5,76875,8743,17.6,3.1,38209,7574,5.3,1.8,34063,14839,2845,359,33260,5591,50.2,6.3,28750,7157,43.5,6.4,24868,8625,6.7,2.7,48750,80241,49.8,6.3,38250,3807,42.1,6.5,35441,9713,7.7,4,90469,64317,21.4,(X),(X),(X),22,(X),(X),(X),19.7,(X),(X),(X)
8600000US78628,78628,ZCTA5 78628,9566,317,79813,4005,93.5,1.8,80973,3346,3.1,1.5,31216,14856,0,0.4,-,**,0.6,0.5,129313,186375,0,0.4,-,**,1.4,0.9,31719,72418,1.5,0.8,56923,16499,9,1.8,59205,18830,86.2,2.4,83920,5643,2.5,1.2,31406,3870,24.4,2.3,89393,11531,43.8,2.6,98676,9763,29.4,1.7,60562,7053,6940,315,96760,5523,37.4,3.1,104345,15237,62.6,3.1,92176,8519,84.9,2.9,103980,7984,9.5,2.3,33431,7716,5.5,1.9,29609,27816,2626,308,44160,4216,57.8,6.4,43750,3042,51.1,6,43187,3875,6.6,2.6,48830,13139,42.2,6.4,47552,18157,39.4,6.4,41563,19493,2.8,2.2,81250,190229,21.8,(X),(X),(X),22,(X),(X),(X),19.1,(X),(X),(X)
8600000US78633,78633,ZCTA5 78633,9448,410,73324,5252,98.1,0.9,73152,5388,0.6,0.5,116016,92973,0.2,0.4,-,**,0.4,0.3,126071,105723,0,0.4,-,**,0.3,0.3,222583,72683,0.5,0.5,20313,12929,3.9,1.4,66949,20732,94.7,1.6,73371,5195,0.2,0.2,-,**,8.1,1.8,107734,29783,25.5,2.3,91284,8388,66.2,2.2,62365,7074,6922,300,85194,4686,14.6,1.9,116029,13671,85.4,1.9,81488,4596,95,1.6,86105,5164,4.1,1.5,56500,9283,0.9,0.7,113750,71640,2526,355,40000,6220,68.2,6.2,38619,7889,64.7,6.8,37071,9246,3.5,1.9,91250,32511,31.8,6.2,48750,22847,24.5,7,31597,18000,7.3,3.4,125677,47695,22.2,(X),(X),(X),20.7,(X),(X),(X),25.7,(X),(X),(X)
